,window_size(minutes),dt(minutes),max_dist(deg),min_samples,grid_km,pred(hours),thr(%),thr_future(%),tn,fp,fn,tp,roc_auc,accuracy,precision,recall,f1,hss,hss2,tss,csi,n_cases,gauss_bandwith
472,0 days 00:15:00,0 days 00:30:00,0.3,3,10,2,2.3575036002176055e-48,0.8,2474328,976778,50229,166417,0.8135141891178552,0.7199900647590132,0.14557184032470402,0.7681517313959177,0.2447594976177362,0.16148250751304846,0.08074125375652415,0.4851184081656258,0.13944499188888443,842,0.1
473,0 days 00:15:00,0 days 00:30:00,0.3,3,10,2,1.9771996451185583e-46,0.7,2508858,988943,39502,130449,0.8125424059722556,0.7195979989922983,0.11653558360252708,0.7675682990979753,0.20234956873384352,0.13255713050479345,0.06627856525239682,0.48483551927430896,0.11256335782219944,842,0.1
474,0 days 00:15:00,0 days 00:30:00,0.3,3,10,2,1.9771996451185583e-46,0.6,2517701,1015948,30659,103444,0.8114068880476701,0.7146461919998953,0.09241088019210429,0.7713772249688672,0.16504892321070289,0.1067154346709771,0.05335771733548855,0.4838704578847567,0.08994731537992663,842,0.1
475,0 days 00:15:00,0 days 00:30:00,0.3,3,10,2,1.8100169428785403e-46,0.5,2524170,1039135,23710,80737,0.8095562011057744,0.7102189570069077,0.07209484655389187,0.7729949160818406,0.1318888296269191,0.08417870650401076,0.04208935325200538,0.4813737946790979,0.07060009688854844,842,0.1
476,0 days 00:15:00,0 days 00:30:00,0.3,3,10,3,1.6164397908981034e-84,0.99,2131507,1077420,124614,334211,0.7550700145141611,0.6722695536666601,0.23675521435842653,0.7284062551081567,0.35735777799638163,0.20776746503124047,0.10388373251562025,0.3926491624725187,0.21755058600678928,842,0.1
477,0 days 00:15:00,0 days 00:30:00,0.3,3,10,3,3.2590626806840226e-80,0.95,2203021,1126489,90459,247783,0.7549845625266605,0.6682033027314824,0.18030127951380803,0.7325613022628769,0.2893792401113217,0.16592659226675427,0.08296329613337705,0.39422653228170845,0.16916621550305141,842,0.1
478,0 days 00:15:00,0 days 00:30:00,0.3,3,10,3,3.2590626806840226e-80,0.9,2221524,1169574,71956,204698,0.7546951046542292,0.661501104763899,0.14895013505332277,0.7399061643786101,0.24797961871095373,0.13998045314802607,0.06999022657401295,0.39501079420647117,0.14153923171173563,842,0.1
479,0 days 00:15:00,0 days 00:30:00,0.3,3,10,3,3.427089528467232e-80,0.8,2241462,1218714,52213,155363,0.7545324612332107,0.6534861135649302,0.1130671716359418,0.7484632134736193,0.19645649203712823,0.10882280210973866,0.05441140105486926,0.3962516496687724,0.10892805810879976,842,0.1
480,0 days 00:15:00,0 days 00:30:00,0.3,3,10,3,1.562874623638878e-79,0.7,2259224,1245778,40289,122461,0.754002955198149,0.6493582445050811,0.08950263806250223,0.7524485407066053,0.1599763290265312,0.08761273290074845,0.04380636645037417,0.3970199275417626,0.08694253859348199,842,0.1
481,0 days 00:15:00,0 days 00:30:00,0.3,3,10,3,3.4375302468838214e-80,0.6,2262491,1276901,31195,97165,0.7526711585373965,0.6433521132290296,0.07071348828949993,0.7569725771268307,0.12934414074303827,0.06979830853257128,0.03489915426628564,0.3962041174591816,0.06914373913458069,842,0.1
482,0 days 00:15:00,0 days 00:30:00,0.3,3,10,3,3.4375302468838214e-80,0.5,2269630,1298229,24056,75837,0.7511484433873257,0.6394835310566255,0.0551916720157547,0.759182325087844,0.10290245522433121,0.05491145765126971,0.027455728825634833,0.3953145265005119,0.05424204754663756,842,0.1
483,0 days 00:15:00,0 days 00:30:00,0.3,3,10,4,1.0811449982373269e-106,0.99,2071515,1159263,135963,301011,0.7120903840035262,0.6468610745764708,0.20613323253033336,0.6888533413887326,0.3173132874563579,0.1639903332957021,0.08199516664785106,0.3300348153247319,0.18857538072353916,842,0.1
484,0 days 00:15:00,0 days 00:30:00,0.3,3,10,4,2.1370664982781742e-105,0.95,2118542,1227188,97972,224050,0.7116799829997182,0.638699672169765,0.15438542816546977,0.6957599170243027,0.2526984198594679,0.1272815500073751,0.06364077500368757,0.3289676175859141,0.14462209771431891,842,0.1
485,0 days 00:15:00,0 days 00:30:00,0.3,3,10,4,2.1370664982781742e-105,0.9,2137739,1266665,78775,184573,0.7117842477624293,0.6331703997434941,0.12718313605349363,0.700871090724061,0.21529745372935508,0.10672359055723407,0.053361795278617064,0.3288044969825426,0.12063492270980704,842,0.1
486,0 days 00:15:00,0 days 00:30:00,0.3,3,10,4,2.1433894823537062e-105,0.8,2158828,1311402,57696,139826,0.7123162036743729,0.6267201272059834,0.09635012554884553,0.7079008920525308,0.1696145564821835,0.08264576874909879,0.04132288437454947,0.3300002918041323,0.09266603221898519,842,0.1
487,0 days 00:15:00,0 days 00:30:00,0.3,3,10,4,2.1491059789233934e-105,0.7,2171907,1341007,44625,110213,0.7124167690015515,0.6222121888284704,0.0759450669092212,0.7117955540629561,0.13724660006052083,0.06598892614804382,0.03299446307402191,0.3300591950174458,0.07367942534152937,842,0.1
488,0 days 00:15:00,0 days 00:30:00,0.3,3,10,4,5.886972586016093e-112,0.6,2137655,1407930,33409,88758,0.7118094240941424,0.607023866390094,0.059302940893492834,0.726530077680552,0.10965528104740696,0.051220336640459795,0.025610168320229946,0.3294362271594109,0.058008087068989744,842,0.1
489,0 days 00:15:00,0 days 00:30:00,0.3,3,10,4,6.057282391283525e-117,0.5,2112574,1460013,25057,70108,0.7103638286261341,0.5951007592661663,0.04581859865984455,0.7366994168023958,0.08627158543173324,0.03933911965701712,0.019669559828508563,0.3280283333550228,0.04508037022128657,842,0.1
490,0 days 00:15:00,0 days 00:30:00,0.3,3,10,5,6.221921798879878e-148,0.99,1954497,1295822,138170,279263,0.6736362607617574,0.6090270007350551,0.17730027268369644,0.6690007737768696,0.2803116458671892,0.12239955270266702,0.06119977635133358,0.27032544375541634,0.16300142127120598,842,0.1
491,0 days 00:15:00,0 days 00:30:00,0.3,3,10,5,7.670619274042596e-146,0.95,2003635,1356212,100351,207554,0.673486090280434,0.60287309501842,0.13272701925991484,0.6740845390623731,0.2217847046836757,0.09480606682950635,0.04740303341475311,0.2704316346295224,0.12472320155373691,842,0.1
492,0 days 00:15:00,0 days 00:30:00,0.3,3,10,5,2.0122201437073887e-146,0.9,2020117,1395664,80764,171207,0.6737568356710557,0.5974569709184263,0.10926681264762703,0.6794710502399086,0.18825934303254488,0.07927935885016832,0.03963967942508415,0.27087811058716155,0.10391075693342275,842,0.1
493,0 days 00:15:00,0 days 00:30:00,0.3,3,10,5,1.472655967331225e-142,0.8,2061048,1417708,60805,128191,0.6739007675997837,0.5968885028213466,0.08292326989020628,0.6782736142563863,0.14777954861821607,0.06160560424100962,0.030802802120504843,0.27074057658429895,0.07978507553351458,842,0.1
494,0 days 00:15:00,0 days 00:30:00,0.3,3,10,5,2.2582862062093056e-142,0.7,2075426,1444261,47352,100713,0.6739230165408044,0.5933168327629567,0.06518750477354311,0.6801945091682707,0.11897304196772786,0.04889793290231677,0.02444896645115848,0.26985660128043865,0.06324898293439911,842,0.1
495,0 days 00:15:00,0 days 00:30:00,0.3,3,10,5,1.8023908483026534e-146,0.6,2064179,1486843,36436,80294,0.6741244048437371,0.5846832064981493,0.051236107628114196,0.6878608755247152,0.09536857720948269,0.03840407433056122,0.01920203716528052,0.26915240230207677,0.05007193311436398,842,0.1
496,0 days 00:15:00,0 days 00:30:00,0.3,3,10,5,1.775857262791409e-146,0.5,2072320,1504567,28260,62605,0.673945488505906,0.5820799770540648,0.03994775302264206,0.6889891597424751,0.07551701198465414,0.030093689787673388,0.01504684489383664,0.2683532827913721,0.03924015564436466,842,0.1
497,0 days 00:15:00,0 days 00:30:00,0.3,3,10,6,2.8665852123216795e-178,0.99,1942329,1332383,144341,248699,0.6403082632867801,0.5973762675339008,0.15729671199849218,0.6327574801546917,0.25195909877910283,0.09694922617293757,0.04847461308646884,0.22588719659998518,0.14413798819188106,842,0.1
498,0 days 00:15:00,0 days 00:30:00,0.3,3,10,6,2.575716905793862e-169,0.95,2019288,1359055,107498,181911,0.640111123320046,0.600149355790686,0.11804997644334787,0.6285602728318747,0.19876910469166154,0.0760071948196142,0.038003597409807105,0.22627578010866684,0.1103518184200565,842,0.1
499,0 days 00:15:00,0 days 00:30:00,0.3,3,10,6,1.2964802225858586e-169,0.9,2038491,1392607,86868,149786,0.6405888054906379,0.596626216821639,0.09711273326577598,0.6329324668080827,0.1683890307563544,0.06362795594543277,0.03181397797271636,0.22705452336257342,0.0919349324632456,842,0.1
500,0 days 00:15:00,0 days 00:30:00,0.3,3,10,6,1.4476288148075246e-169,0.8,2061199,1429122,64370,113061,0.6411732394598475,0.5928045298591617,0.07331231118485938,0.6372110848724293,0.13149578917129076,0.0489764494689004,0.024488224734450177,0.2277582007394226,0.07037489581731819,842,0.1
501,0 days 00:15:00,0 days 00:30:00,0.3,3,10,6,1.2964802225858586e-169,0.7,2075137,1453553,50222,88840,0.640851584063056,0.5900009051866102,0.057598809123226055,0.6388517351972501,0.10567038665917317,0.03881187616357053,0.019405938081785253,0.2269274800203998,0.055782470967559644,842,0.1
502,0 days 00:15:00,0 days 00:30:00,0.3,3,10,6,8.851918416157352e-180,0.6,2042109,1516015,38050,71578,0.6409994107020753,0.5762895092143635,0.04508586268646939,0.6529171379574561,0.08434729478364927,0.030113073579023323,0.01505653678951161,0.22684570256060088,0.044030577439204056,842,0.1
503,0 days 00:15:00,0 days 00:30:00,0.3,3,10,6,8.851918416157352e-180,0.5,2050693,1531723,29466,55870,0.6414486562641413,0.5743471750543657,0.035191639166965334,0.6547061029342833,0.06679303186208141,0.023679210492590422,0.011839605246295156,0.22713906437706383,0.03455037818657204,842,0.1
504,0 days 00:15:00,0 days 00:45:00,0.2,3,2,1,2.737029314738775e-31,0.99,59652366,11845596,2177176,7673162,0.8867413731410873,0.8276205894898848,0.39311732846936265,0.7789744879820367,0.5225330735409766,0.43094259532642637,0.21547129766321324,0.613297094268353,0.3536682034523151,747,0.1
505,0 days 00:15:00,0 days 00:45:00,0.2,3,2,1,3.6123494966479744e-26,0.95,62149129,11975836,1620598,5602737,0.8867503802372921,0.8328614857347971,0.31872535956132503,0.7756440757627883,0.45179886966760785,0.37286178952065646,0.18643089476032826,0.6140812878410672,0.2918218187649873,747,0.1
506,0 days 00:15:00,0 days 00:45:00,0.2,3,2,1,1.9158421620242114e-24,0.9,63150483,12295045,1312463,4590309,0.8868862837615018,0.8327253550473703,0.27185151107877276,0.7776531094204553,0.40286849388141877,0.3309208498748749,0.1654604249374375,0.6146872541082624,0.2522450357644546,747,0.1
507,0 days 00:15:00,0 days 00:45:00,0.2,3,2,1,8.688080621120958e-22,0.8,64588661,12337969,990084,3431586,0.8869039868774091,0.8361606450288451,0.21760829649283064,0.7760836968837566,0.3399086484351494,0.2786649135040557,0.1393324567520277,0.6156975081218155,0.20475297827119068,747,0.1
508,0 days 00:15:00,0 days 00:45:00,0.2,3,2,1,2.6414480943072544e-20,0.7,65455146,12433391,774238,2685525,0.8868232712664036,0.837640995570897,0.17762682192294738,0.7762164633820293,0.28909751872024914,0.23622903806762002,0.11811451903380998,0.6165859005432383,0.16897369773174034,747,0.1
509,0 days 00:15:00,0 days 00:45:00,0.2,3,2,1,2.261623069557162e-19,0.6,66040836,12582294,609149,2116021,0.8863415853617621,0.8378399671535852,0.14396350874232863,0.7764730273707695,0.24289296888653447,0.1975371985222117,0.09876859926110591,0.6164400447103234,0.13823458934804617,747,0.1
510,0 days 00:15:00,0 days 00:45:00,0.2,3,2,1,2.001162056526276e-18,0.5,66607560,12620920,478802,1641018,0.8852530476831535,0.8389674768864254,0.11506276355990329,0.7741308224283194,0.20034699572536718,0.16233974579001414,0.08116987289500709,0.6148330547568962,0.11132534730278128,747,0.1
511,0 days 00:15:00,0 days 00:45:00,0.2,3,2,2,1.2849982064350226e-39,0.99,56173858,15777840,2227044,7169558,0.8491886492325398,0.7786692039046913,0.312434464247319,0.7629947506556093,0.44333156072223595,0.3342043605833312,0.16710218029166565,0.5437109750315788,0.28479511085091774,747,0.1
512,0 days 00:15:00,0 days 00:45:00,0.2,3,2,2,1.9603894191893464e-34,0.95,58463384,15991884,1670360,5222672,0.848662848463463,0.7828812157107156,0.24618342236339993,0.7576741265672349,0.3716200764007214,0.27945575485436047,0.13972787742718018,0.5428890021620685,0.22821460214230194,747,0.1
513,0 days 00:15:00,0 days 00:45:00,0.2,3,2,2,1.1795269442994056e-32,0.9,59397136,16317804,1361701,4271659,0.848504169585894,0.782669029346649,0.20746820837435148,0.7582790732351563,0.325797035658594,0.24353415357455027,0.12176707678727501,0.5427627695835916,0.19459829100634482,747,0.1
514,0 days 00:15:00,0 days 00:45:00,0.2,3,2,2,1.0767774872534268e-30,0.8,60448585,16679605,1018105,3202005,0.8482345503995977,0.7824452385606091,0.16105360682560416,0.7587491795237565,0.2657075926531384,0.1969793027333846,0.09848965136669229,0.542490960576832,0.15320807006219941,747,0.1
515,0 days 00:15:00,0 days 00:45:00,0.2,3,2,2,5.109205817062667e-29,0.7,61286254,16760355,802576,2499115,0.8479776505583763,0.7841020525321365,0.12976032050726213,0.7569197117477074,0.22154134709645482,0.16358189779774573,0.0817909488988729,0.5421716885504408,0.12456929866475235,747,0.1
516,0 days 00:15:00,0 days 00:45:00,0.2,3,2,2,1.5565240329523507e-27,0.6,62013762,16734017,640098,1960423,0.8474588420468061,0.7864231336118886,0.10486663414362773,0.753857784651614,0.1841208349712404,0.1356042630670794,0.0678021315335397,0.5413563374679418,0.10139487170575268,747,0.1
517,0 days 00:15:00,0 days 00:45:00,0.2,3,2,2,1.4518771346018088e-26,0.5,62526849,16798567,503964,1518920,0.8462828689119634,0.7873031028306676,0.08292185494658738,0.7508685619145734,0.14935027487945032,0.1094652000922286,0.05473260004611431,0.5391007849892057,0.08070153571050394,747,0.1
518,0 days 00:15:00,0 days 00:45:00,0.2,3,2,3,4.7747439715782995e-51,0.99,52645356,19757837,2266815,6678292,0.8089303460346853,0.7292549198938392,0.25261988999978024,0.7465860386018859,0.37750473160406267,0.2551028045711846,0.1275514022855924,0.47369977238431726,0.23266923420817043,747,0.1
519,0 days 00:15:00,0 days 00:45:00,0.2,3,2,3,2.3832176884006906e-47,0.95,54299094,20486326,1667459,4895421,0.8085244695882412,0.7276675111833929,0.19287171210082585,0.7459257216344044,0.3064941719306975,0.2045095643191321,0.10225478215956599,0.47199096269342367,0.18098205914066387,747,0.1
520,0 days 00:15:00,0 days 00:45:00,0.2,3,2,3,2.4211277198108432e-45,0.9,55187554,20798397,1368310,3994039,0.8084072665422658,0.7275086633648152,0.16109909490136426,0.7448301108338902,0.26490250220653205,0.17553680972568958,0.08776840486284475,0.47111639499186564,0.15267297805651261,747,0.1
521,0 days 00:15:00,0 days 00:45:00,0.2,3,2,3,1.5328325863676767e-43,0.8,56076337,21256557,1019564,2995842,0.808825004943351,0.7261636567697174,0.12352765596508618,0.7460869461269919,0.21196141688397807,0.13903973001719225,0.06951986500859617,0.4712161130245866,0.11854409568421732,747,0.1
522,0 days 00:15:00,0 days 00:45:00,0.2,3,2,3,1.0682991365393652e-42,0.7,56560266,21646672,792270,2349092,0.8090927187502042,0.7241621275429234,0.09789611199710083,0.7477941096887274,0.17312754489919088,0.11251968340725578,0.056259841703627876,0.47100700417642616,0.0947671767756975,747,0.1
523,0 days 00:15:00,0 days 00:45:00,0.2,3,2,3,1.1730197459718094e-42,0.6,56747433,22126729,617484,1856654,0.8090343435215573,0.7204094861232503,0.07741418297827292,0.7504245923226595,0.1403498082832477,0.090182473896283,0.04509123694814141,0.46989255953859005,0.07547107994201993,747,0.1
524,0 days 00:15:00,0 days 00:45:00,0.2,3,2,3,1.0389613092139006e-42,0.5,56873450,22550064,475372,1449414,0.8085843717047745,0.7169524624362156,0.060393563560007434,0.7530260506882324,0.1118191050669751,0.07112646031353038,0.03556323015676523,0.4691042891806768,0.05922054680621128,747,0.1
525,0 days 00:15:00,0 days 00:45:00,0.2,3,2,4,1.0132270275514294e-66,0.99,49040721,23821671,2218956,6266952,0.7717848382822201,0.6798872625488178,0.20828311086220197,0.738512837989759,0.32492693171045944,0.1937161754554504,0.09685808772772526,0.4115722813305705,0.19397776602202227,747,0.1
526,0 days 00:15:00,0 days 00:45:00,0.2,3,2,4,4.465522470039186e-64,0.95,50282799,24849464,1613239,4602798,0.7711870207350318,0.6746987583022632,0.15627994888813634,0.7404714611576475,0.25808901063658796,0.15094520145448156,0.07547260072724075,0.4097285418341606,0.1481642932460674,747,0.1
527,0 days 00:15:00,0 days 00:45:00,0.2,3,2,4,1.4651491020604246e-62,0.9,50955196,25317819,1311786,3763499,0.7712758716031719,0.6726470620775111,0.1294129447640578,0.7415345148104984,0.22036728886651874,0.127695039489339,0.06384751974466948,0.4095977348103895,0.12382739847828639,747,0.1
528,0 days 00:15:00,0 days 00:45:00,0.2,3,2,4,4.293991577138378e-59,0.8,52133310,25416519,998565,2799906,0.7716405763580314,0.6752841300924542,0.09922965081508377,0.7371139598011937,0.17491270313668986,0.10091077883323382,0.050455389416616925,0.40936960075173656,0.09583799275645824,747,0.1
